session_dt,market_val,val,n
"2020-01-01 00:00:00",0.00,0.00,1014
"2020-01-02 00:00:00",0.40,0.01,1014
"2020-01-09 00:00:00",0.93,0.08,1013
"2020-01-16 00:00:00",2.08,0.38,1013
"2020-01-23 00:00:00",2.29,2.03,1013
"2020-01-30 00:00:00",1.56,-4.99,1011
"2020-02-06 00:00:00",2.57,-5.90,1011
"2020-02-13 00:00:00",4.37,-3.70,1005
"2020-02-20 00:00:00",5.79,-4.13,1010
"2020-02-27 00:00:00",-7.22,-12.19,1011
"2020-03-05 00:00:00",-9.76,-15.02,1008
"2020-03-12 00:00:00",-28.94,-30.79,1005
"2020-03-19 00:00:00",-26.36,-31.81,1005
"2020-03-26 00:00:00",-20.55,-30.34,1004
"2020-04-02 00:00:00",-25.07,-37.73,1004
"2020-04-09 00:00:00",-14.74,-33.55,1004
"2020-04-16 00:00:00",-17.82,-41.02,1004
"2020-04-23 00:00:00",-15.76,-43.15,1004
"2020-04-30 00:00:00",-11.41,5.75,1005
"2020-05-07 00:00:00",-12.52,7.76,1004
"2020-05-14 00:00:00",-14.19,17.77,1004
"2020-05-21 00:00:00",-10.76,17.73,1001
"2020-05-28 00:00:00",-9.11,36.15,1004
"2020-06-04 00:00:00",-6.15,54.89,1003
"2020-06-11 00:00:00",-11.85,47.71,1003
"2020-06-18 00:00:00",-7.91,54.97,1002
"2020-06-25 00:00:00",-9.65,41.49,965
"2020-07-02 00:00:00",-8.66,41.97,1001
"2020-07-09 00:00:00",-9.68,37.82,1002
"2020-07-16 00:00:00",-6.08,39.63,967
"2020-07-23 00:00:00",-6.99,34.22,968
"2020-07-29 00:00:00",-7.07,35.41,966
