session_dt,market_val,n,val
"2022-01-03 00:00:00",0.00,1030,0.00
"2022-01-06 00:00:00",-0.70,905,2.02
"2022-01-13 00:00:00",-2.60,1029,7.98
"2022-01-20 00:00:00",-6.18,1028,1.88
"2022-01-27 00:00:00",-7.45,1027,8.16
"2022-02-03 00:00:00",-5.90,1028,11.39
"2022-02-10 00:00:00",-6.84,1026,17.22
"2022-02-17 00:00:00",-7.59,1025,15.63
"2022-02-24 00:00:00",-7.49,1022,13.74
"2022-03-03 00:00:00",-0.69,1022,24.83
"2022-03-10 00:00:00",-2.29,1020,45.18
"2022-03-17 00:00:00",-1.18,1020,56.15
"2022-03-24 00:00:00",1.73,1018,58.80
